"","site","topography","plot","year","season","tree","canopyPosition","treatment","genus","specie","C","N","CN","CP","NP","P"
"340","Nouragues","Bottom","1","2019","Dry","105","Down","N","Eperua","falcata",50.398,1.937,26.014,740.846,28.479,0.068
"341","Nouragues","Bottom","1","2019","Wet","105","Top","N","Eperua","falcata",50.84,1.725,29.469,557.973,18.934,0.091
"342","Nouragues","Bottom","1","2019","Wet","105","Down","N","Eperua","falcata",49.831,1.836,27.143,523.204,19.276,0.095
"343","Nouragues","Bottom","1","2019","Dry","107","Top","N","Lecythis","idatimon",49.631,1.725,28.764,1165.729,40.528,0.043
"344","Nouragues","Bottom","1","2019","Dry","107","Down","N","Lecythis","idatimon",49.324,2.107,23.408,1047.555,44.751,0.047
"345","Nouragues","Bottom","1","2019","Wet","107","Top","N","Lecythis","idatimon",50.163,1.735,28.913,1187.819,41.083,0.042
"346","Nouragues","Bottom","1","2019","Wet","107","Down","N","Lecythis","idatimon",50.434,1.962,25.71,1097.544,42.689,0.046
"347","Nouragues","Slope","1","2019","Dry","107","Top","N","Licania","alba",46.627,1.283,36.35,1406.014,38.679,0.033
"348","Nouragues","Slope","1","2019","Dry","107","Down","N","Licania","alba",46.808,1.123,41.669,1443.073,34.632,0.032
"349","Nouragues","Slope","1","2019","Wet","107","Top","N","Licania","alba",47.817,1.305,36.645,1167.093,31.848,0.041
"350","Nouragues","Slope","1","2019","Wet","107","Down","N","Licania","alba",47.433,1.11,42.739,1566.035,36.642,0.03
"351","Paracou","Top","2","2019","Wet","108","Top","NP","Eperua","grandiflora",53.598,1.206,44.438,909.522,20.467,0.059
"352","Paracou","Top","2","2019","Wet","108","Down","NP","Eperua","grandiflora",51.906,1.198,43.311,1258.451,29.056,0.041
"353","Paracou","Top","2","2019","Dry","108","Top","NP","Eperua","grandiflora",51.347,1.302,39.438,866.848,21.98,0.059
"354","Paracou","Top","2","2019","Dry","108","Down","NP","Eperua","grandiflora",52.642,2.086,25.24,1071.005,42.433,0.049
"355","Paracou","Top","3","2019","Wet","132","Top","P","Chrysophyllum","poniferum",53.008,1.314,40.328,1101.391,27.311,0.048
"356","Paracou","Top","3","2019","Wet","132","Down","P","Chrysophyllum","poniferum",50.652,1.002,50.537,1244.81,24.632,0.041
"357","Paracou","Top","3","2019","Dry","132","Top","P","Chrysophyllum","poniferum",48.765,1.311,37.193,961.063,25.84,0.051
